,lat,long
"1251 CONFEDERATION DR, Port Coquitlam, BC, Canada",49.2378025,-122.7840349
"1212 DEWAR WAY, Port Coquitlam, BC, Canada",49.2354433,-122.7872702
"2442 KENSINGTON CRES, Port Coquitlam, BC, Canada",49.2359155,-122.7806433
"2645 KLASSEN CRT, Port Coquitlam, BC, Canada",49.23842500000001,-122.785899
"1465 MORRISON ST, Port Coquitlam, BC, Canada",49.2416795,-122.7678252
"1504 EASTERN DR, Port Coquitlam, BC, Canada",49.2421663,-122.7768684
"2638 FORTRESS DR, Port Coquitlam, BC, Canada",49.2314404,-122.7896877
"2607 FORTRESS DR, Port Coquitlam, BC, Canada",49.23158189999999,-122.7865033
"1142 COUTTS WAY, Port Coquitlam, BC, Canada",49.234519,-122.78829
"1990 ROUTLEY AVE, Port Coquitlam, BC, Canada",49.2402622,-122.7716415
"1517 ELINOR CRES, Port Coquitlam, BC, Canada",49.2423491,-122.785751
"1993 RODGER AVE, Port Coquitlam, BC, Canada",49.2420532,-122.7716597
"1247 DEWAR WAY, Port Coquitlam, BC, Canada",49.236657,-122.786608
"2681 PIONEER WAY, Port Coquitlam, BC, Canada",49.2343127,-122.7879001
"2344 KENSINGTON CRES, Port Coquitlam, BC, Canada",49.23586599999999,-122.7784649
"1257 YARMOUTH ST, Port Coquitlam, BC, Canada",49.2363322,-122.7736332
"1472 WESTERN DR, Port Coquitlam, BC, Canada",49.24163919999999,-122.783113
"1441 DELIA DR, Port Coquitlam, BC, Canada",49.240919,-122.780934
"2642 FORTRESS DR, Port Coquitlam, BC, Canada",49.23123,-122.790348
"2032 LEGGATT PL, Port Coquitlam, BC, Canada",49.2337879,-122.771957
"1257 BRADSHAW ST, Port Coquitlam, BC, Canada",49.2373465,-122.7703551
"1380 YARMOUTH ST, Port Coquitlam, BC, Canada",49.2383868,-122.7728823
"1163 CASTLE CRES, Port Coquitlam, BC, Canada",49.23445299999999,-122.775939
"2159 NOVA SCOTIA AVE, Port Coquitlam, BC, Canada",49.237215,-122.7746323
"1454 COLUMBIA AVE, Port Coquitlam, BC, Canada",49.2414198,-122.7760497
"1452 STEWART PL, Port Coquitlam, BC, Canada",49.241348,-122.7701189
"1450 KNAPPEN ST, Port Coquitlam, BC, Canada",49.241355,-122.7722871
"2651 FORTRESS DR, Port Coquitlam, BC, Canada",49.230145,-122.791894
"1471 ELINOR CRES, Port Coquitlam, BC, Canada",49.2412351,-122.7871959
"1456 HELEN DR, Port Coquitlam, BC, Canada",49.2413605,-122.7845591
"1885 JACANA AVE, Port Coquitlam, BC, Canada",49.239071,-122.7698458
"936 FORT FRASER RISE, Port Coquitlam, BC, Canada",49.2308371,-122.792078
"2251 CASTLE CRES, Port Coquitlam, BC, Canada",49.2327907,-122.7788727
"1491 CELESTE CRES, Port Coquitlam, BC, Canada",49.242304,-122.780498
"1841 HARBOUR ST, Port Coquitlam, BC, Canada",49.2367672,-122.7678156
"1524 MARY HILL LANE, Port Coquitlam, BC, Canada",49.242315,-122.786758
