,lat,long,gridX,gridY,grid
"1251 CONFEDERATION DR, Port Coquitlam, BC, Canada",49.2378025,-122.7840349,1,1,"[1,1]"
"1212 DEWAR WAY, Port Coquitlam, BC, Canada",49.2354433,-122.7872702,0,1,"[0,1]"
"2442 KENSINGTON CRES, Port Coquitlam, BC, Canada",49.2359155,-122.7806433,2,1,"[2,1]"
"2645 KLASSEN CRT, Port Coquitlam, BC, Canada",49.23842500000001,-122.785899,1,1,"[1,1]"
"1465 MORRISON ST, Port Coquitlam, BC, Canada",49.2416795,-122.7678252,4,2,"[4,2]"
"1504 EASTERN DR, Port Coquitlam, BC, Canada",49.2421663,-122.7768684,2,2,"[2,2]"
"2638 FORTRESS DR, Port Coquitlam, BC, Canada",49.2314404,-122.7896877,0,0,"[0,0]"
"2607 FORTRESS DR, Port Coquitlam, BC, Canada",49.23158189999999,-122.7865033,1,0,"[1,0]"
"1142 COUTTS WAY, Port Coquitlam, BC, Canada",49.234519,-122.78829,0,1,"[0,1]"
"1990 ROUTLEY AVE, Port Coquitlam, BC, Canada",49.2402622,-122.7716415,3,2,"[3,2]"
"1517 ELINOR CRES, Port Coquitlam, BC, Canada",49.2423491,-122.785751,1,2,"[1,2]"
"1993 RODGER AVE, Port Coquitlam, BC, Canada",49.2420532,-122.7716597,3,2,"[3,2]"
"1247 DEWAR WAY, Port Coquitlam, BC, Canada",49.236657,-122.786608,1,1,"[1,1]"
"2681 PIONEER WAY, Port Coquitlam, BC, Canada",49.2343127,-122.7879001,0,1,"[0,1]"
"2344 KENSINGTON CRES, Port Coquitlam, BC, Canada",49.23586599999999,-122.7784649,2,1,"[2,1]"
"1257 YARMOUTH ST, Port Coquitlam, BC, Canada",49.2363322,-122.7736332,3,1,"[3,1]"
"1472 WESTERN DR, Port Coquitlam, BC, Canada",49.24163919999999,-122.783113,1,2,"[1,2]"
"1441 DELIA DR, Port Coquitlam, BC, Canada",49.240919,-122.780934,1,2,"[1,2]"
"2642 FORTRESS DR, Port Coquitlam, BC, Canada",49.23123,-122.790348,0,0,"[0,0]"
"2032 LEGGATT PL, Port Coquitlam, BC, Canada",49.2337879,-122.771957,3,1,"[3,1]"
"1257 BRADSHAW ST, Port Coquitlam, BC, Canada",49.2373465,-122.7703551,3,1,"[3,1]"
"1380 YARMOUTH ST, Port Coquitlam, BC, Canada",49.2383868,-122.7728823,3,1,"[3,1]"
"1163 CASTLE CRES, Port Coquitlam, BC, Canada",49.23445299999999,-122.775939,2,1,"[2,1]"
"2159 NOVA SCOTIA AVE, Port Coquitlam, BC, Canada",49.237215,-122.7746323,3,1,"[3,1]"
"1454 COLUMBIA AVE, Port Coquitlam, BC, Canada",49.2414198,-122.7760497,2,2,"[2,2]"
"1452 STEWART PL, Port Coquitlam, BC, Canada",49.241348,-122.7701189,3,2,"[3,2]"
"1450 KNAPPEN ST, Port Coquitlam, BC, Canada",49.241355,-122.7722871,3,2,"[3,2]"
