,geometry,GCX_OID,Address,Legal Description,Legal Type,Folio,PID,Additional PIDs,Plan Number,Land Use Code,Zoning,Zoning Description,Garbage Zone,Approximate Site Area (m²),Street View
2,Geocortex.Gis.Geometries.Polygon,2,2607 FORTRESS DR,"LOT 2, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP22293",LAND,285002-000,019-200-889,No,LMP22293,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,509.3251953125,Click for Google StreetView
6,Geocortex.Gis.Geometries.Polygon,6,1086 COUTTS WAY,"LOT 10, DISTRICT LOT 169, NEW WEST DISTRICT, PLAN NWP87548",LAND,226000-310,016-849-353,No,87548,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,381.70263671875,Click for Google StreetView
8,Geocortex.Gis.Geometries.Polygon,8,2638 FORTRESS DR,"LOT 1, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-001,015-889-327,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,491.7509765625,Click for Google StreetView
9,Geocortex.Gis.Geometries.Polygon,9,2634 HOMESTEADER WAY,"LOT 56, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-056,012-487-546,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,480.811279296875,Click for Google StreetView
14,Geocortex.Gis.Geometries.Polygon,14,788 CANNON GREEN,"LOT 5, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN LMP1329",LAND,286023-005,017-531-781,No,LMP1329,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,726.839599609375,Click for Google StreetView
15,Geocortex.Gis.Geometries.Polygon,15,862 MUSKET TERR,"LOT 30, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882",LAND,286018-030,015-889-611,No,84882,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,481.492431640625,Click for Google StreetView
16,Geocortex.Gis.Geometries.Polygon,16,1160 SETTLERS CRT,"LOT 33, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP79870",LAND,286009-033,012-487-317,No,79870,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,547.53857421875,Click for Google StreetView
19,Geocortex.Gis.Geometries.Polygon,19,952 FORT FRASER RISE,"LOT 10, DISTRICT LOT 168, NEW WEST DISTRICT, PLAN LMP19800, GROUP 1",LAND,286027-010,019-042-337,No,LMP19800,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,525.538330078125,Click for Google StreetView
20,Geocortex.Gis.Geometries.Polygon,20,2688 FORTRESS CRT,"LOT 51, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP84882, GROUP 1",LAND,286018-051,015-889-831,No,84882,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,582.345458984375,Click for Google StreetView
21,Geocortex.Gis.Geometries.Polygon,21,2546 PALISADE CRES,"LOT 18, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP78118",LAND,286017-018,011-395-214,No,78118,No,RS1,RESIDENTIAL SINGLE DWELLING 1,5.0,798.67529296875,Click for Google StreetView
26,Geocortex.Gis.Geometries.Polygon,26,2653 HOMESTEADER WAY,"LOT 85, DISTRICT LOT 344, NEW WEST DISTRICT, PLAN NWP81973",LAND,286009-085,014-380-242,No,81973,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,541.576171875,Click for Google StreetView
