GISLINK,STREET,HOUSE,UNIT,CITY,PROVINCE,PC,X,Y
411000,FOURTH ST,26,202,NEW WESTMINSTER,BC,V3L 5M4,-122.9057944,49.20472996
9187000,THIRTEENTH ST,612,,NEW WESTMINSTER,BC,V3M 4M2,-122.9329666,49.20700461
237002,FRONT ST,661,,NEW WESTMINSTER,BC,V3M 1A2,-122.9091438,49.20208072
237002,COLUMBIA ST,668,607,NEW WESTMINSTER,BC,V3M 1A9,-122.9091438,49.20208072
237002,COLUMBIA ST,668,608,NEW WESTMINSTER,BC,V3M 1A9,-122.9091438,49.20208072
237002,COLUMBIA ST,668,609,NEW WESTMINSTER,BC,V3M 1A9,-122.9091438,49.20208072
237002,COLUMBIA ST,668,610,NEW WESTMINSTER,BC,V3M 1A9,-122.9091438,49.20208072
237002,COLUMBIA ST,668,611,NEW WESTMINSTER,BC,V3M 1A9,-122.9091438,49.20208072
237002,COLUMBIA ST,668,612,NEW WESTMINSTER,BC,V3M 1A9,-122.9091438,49.20208072
237002,COLUMBIA ST,668,701,NEW WESTMINSTER,BC,V3M 1A9,-122.9091438,49.20208072
12295100,WOOD ST,100,18,NEW WESTMINSTER,BC,V3M 0H6,-122.9363318,49.18556579
12295100,WOOD ST,100,17,NEW WESTMINSTER,BC,V3M 0H6,-122.9363318,49.18556579
12295100,WOOD ST,100,16,NEW WESTMINSTER,BC,V3M 0H6,-122.9363318,49.18556579
12295100,WOOD ST,100,15,NEW WESTMINSTER,BC,V3M 0H6,-122.9363318,49.18556579
12295100,WOOD ST,100,14,NEW WESTMINSTER,BC,V3M 0H6,-122.9363318,49.18556579
12295100,WOOD ST,100,13,NEW WESTMINSTER,BC,V3M 0H6,-122.9363318,49.18556579
13476101,JARDINE ST,305,1,NEW WESTMINSTER,BC,V3M 5M6,-122.949207,49.1856056
13476101,JARDINE ST,305,2,NEW WESTMINSTER,BC,V3M 5M6,-122.949207,49.1856056
13476101,JARDINE ST,305,3,NEW WESTMINSTER,BC,V3M 5M6,-122.949207,49.1856056
13476101,JARDINE ST,305,4,NEW WESTMINSTER,BC,V3M 5M6,-122.949207,49.1856056
13523002,TANAKA CRT,1084,,NEW WESTMINSTER,BC,,-122.9521212,49.18641817
1708200,E ROYAL AVE,20,101,NEW WESTMINSTER,BC,V3L 0G9,-122.8971752,49.21368771
1708200,E ROYAL AVE,20,102,NEW WESTMINSTER,BC,V3L 0G9,-122.8971752,49.21368771
611001,CARNARVON ST,735,201,NEW WESTMINSTER,BC,V3M 1E6,-122.9121012,49.20272889
